indicado,pres_brasil_pessoa,pres_brasil_partido,pres_senado_pessoa,pres_senado_partido,pres_ccj_pessoa,pres_ccj_partido,relator_pessoa,relator_partido
Paulo Brossard,José Sarney,PMDB,Nelson Carneiro,PMDB,Alfredo Campos,PMDB,Mauro Benevides,PMDB
Sepúlveda Pertence,José Sarney,PMDB,Nelson Carneiro,PMDB,Cid Sabóia de Carvalho,PMDB,Maurício Corrêa,PDT
Celso de Mello,José Sarney,PMDB,Nelson Carneiro,PMDB,Cid Sabóia de Carvalho,PMDB,José Paulo Bisol,PSB
Carlos Velloso,Fernando Collor de Mello,PRN,Nelson Carneiro,PMDB,Cid Sabóia de Carvalho,PMDB,Lourival Baptista,PFL
Marco Aurélio de Mello,Fernando Collor de Mello,PRN,Nelson Carneiro,PMDB,Cid Sabóia de Carvalho,PMDB,Mauro Benevides,PMDB
Ilmar Galvão,Fernando Collor de Mello,PRN,Mauro Benevides,PMDB,Nelson Carneiro,PMDB,Lourival Baptista,PFL
Maurício Corrêa,Itamar Franco,sem partido,Humberto Lucena,PMDB,Iram Saraiva,PMDB,Francisco Rollemberg,PMN
Nelson Jobim,Fernando Henrique Cardoso,PSDB,Antônio Carlos Magalhães,PFL,Bernardo Cabral,PFL,Pedro Simon,PMDB
Ellen Gracie,Fernando Henrique Cardoso,PSDB,Antônio Carlos Magalhães,PFL,José Agripino,PFL,José Fogaça,PMDB
Gilmar Mendes,Fernando Henrique Cardoso,PSDB,Ramez Tebet,PMDB,Bernardo Cabral,PFL,Lúcio Alcântara,PSDB
Cezar Peluso,Luiz Inácio Lula da Silva,PT,José Sarney,PMDB,Edison Lobão,PFL,João Alberto Souza,PMDB
Ayres Britto,Luiz Inácio Lula da Silva,PT,José Sarney,PMDB,Edison Lobão,PFL,Antônio Carlos Valadares,PSB
Joaquim Barbosa,Luiz Inácio Lula da Silva,PT,José Sarney,PMDB,Edison Lobão,PFL,César Borges,PFL
Eros Grau,Luiz Inácio Lula da Silva,PT,José Sarney,PMDB,Edison Lobão,PFL,Pedro Simon,PMDB
Ricardo Lewandowski,Luiz Inácio Lula da Silva,PT,Renan Calheiros,PMDB,Edison Lobão,PFL,Ramez Tebet,PMDB
Cármen Lúcia,Luiz Inácio Lula da Silva,PT,Renan Calheiros,PMDB,Edison Lobão,PFL,Eduardo Azeredo,PSDB
Menezes Direito,Luiz Inácio Lula da Silva,PT,Garibaldi Alves Filho,PMDB,Antônio Carlos Magalhães,PFL,Valter Pereira,PMDB
Dias Toffoli,Luiz Inácio Lula da Silva,PT,José Sarney,PMDB,Demóstenes Torres,PMDB,Francisco Dornelles,PP
Luiz Fux,Dilma Roussef,PT,José Sarney,PMDB,Eunício Oliveira,PMDB,Marcelo Crivella,Republicanos
Rosa Weber,Dilma Roussef,PT,José Sarney,PMDB,Eunício Oliveira,PMDB,Romero Jucá,PMDB
Teori Zavascki,Dilma Roussef,PT,José Sarney,PMDB,Eunício Oliveira,PMDB,Renan Calheiros,PMDB
Luís Roberto Barroso,Dilma Roussef,PT,Renan Calheiros,PMDB,Anibal Diniz (em exercício),PT,Vital do Rêgo,PMDB
Edson Fachin,Dilma Roussef,PT,Renan Calheiros,PMDB,José Maranhão,PMDB,Álvaro Dias,PSDB
Alexandre de Moraes,Michel Temer,PMDB,Eunício Oliveira,PMDB,Edison Lobão,PMDB,Eduardo Braga,PMDB
Nunes Marques,Jair Bolsonaro,PL,Davi Alcolumbre,DEM,Simone Tebet,PMDB,Rodrigo Pacheco,DEM
André Mendonça,Jair Bolsonaro,PL,Rodrigo Pacheco,PSD,Davi Alcolumbre,DEM,Eliziane Gama,Cidadania
Cristiano Zanin,Luiz Inácio Lula da Silva,PT,Rodrigo Pacheco,PSD,Davi Alcolumbre,União,Vital do Rêgo,PMDB
Flávio Dino,Luiz Inácio Lula da Silva,PT,Rodrigo Pacheco,PSD,Davi Alcolumbre,União,Weverton,PDT
