indicado,tempo_exposicao,rito,respostas
Ellen Gracie,20,Individualizada,Sem definição
Gilmar Mendes,Sem regras definidas pela presidência da Mesa,Individualizada,Réplica/Tréplica
Cezar Peluso,Sem regras definidas pela presidência da Mesa,Bloco,Sem definição
Ayres Britto,Sem regras definidas pela presidência da Mesa,Bloco,Sem definição
Joaquim Barbosa,Sem regras definidas pela presidência da Mesa,Bloco,Sem definição
Eros Grau,Sem regras definidas pela presidência da Mesa,Individualizada,Sem definição
Cármen Lúcia,Sem regras definidas pela presidência da Mesa,Bloco,Sem definição
Menezes Direito,20,"Individualizada, após em bloco",Sem definição
Dias Toffoli,30,"Individualizada, após em bloco",Sem definição
Luiz Fux,30,"Individualizada, após em bloco",Sem definição
Rosa Weber,20,Bloco,Sem definição
Teori Zavascki,20,Bloco,Não se permitiu réplica/tréplica
Luís Roberto Barroso,20,Bloco,Não se permitiu réplica/tréplica
Edson Fachin,30,Individualizada,Réplica/Tréplica
Alexandre de Moraes,30,Individualizada,Réplica/Tréplica
Nunes Marques,30,"Individualizada, após em bloco",Réplica/Tréplica
André Mendonça,30,Bloco,Réplica/Tréplica
Cristiano Zanin,30,Bloco,Réplica/Tréplica
Flávio Dino,Sem regras definidas pela presidência da Mesa,Bloco,Réplica/Tréplica
