indicado,senadores,indagacoes,elogios,rejeicao,outras,tempo_h
Ellen Gracie,13,17,1,0,0,4
Gilmar Mendes,9,42,12,1,0,5
Cezar Peluso,9,31,2,0,0,4
Ayres Britto,5,6,5,0,0,3
Joaquim Barbosa,8,18,9,0,0,4
Eros Grau,9,24,8,0,0,3
Cármen Lúcia,7,7,12,0,0,3
Menezes Direito,10,20,10,0,0,4
Dias Toffoli,15,65,6,0,2,7
Luiz Fux,8,28,5,0,0,4
Rosa Weber,15,86,4,0,0,7
Teori Zavascki,12,89,1,0,0,6
Luís Roberto Barroso,19,88,7,0,0,8
Edson Fachin,24,104,10,0,0,13
Alexandre de Moraes,31,144,1,0,0,12
Nunes Marques,27,103,7,0,1,10
André Mendonça,17,73,13,0,0,8
Cristiano Zanin,29,92,3,0,0,8
Flávio Dino,23,82,7,1,1,12
